CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,50,77,1,27.0,80.0,10
2,38,71,3,80.0,119.0,10
3,5,37,3,153.0,213.0,10
4,81,17,2,36.0,56.0,10
5,36,49,2,121.0,146.0,10
6,99,5,3,191.0,230.0,10
7,59,36,1,171.0,230.0,10
8,24,41,6,68.0,102.0,10
9,37,1,9,14.0,71.0,10
10,33,71,1,170.0,230.0,10
11,87,83,4,95.0,155.0,10
12,5,11,5,92.0,144.0,10
13,79,62,4,54.0,84.0,10
14,24,36,4,125.0,163.0,10
15,28,78,2,151.0,210.0,10
16,77,34,3,203.0,230.0,10
17,1,97,1,178.0,198.0,10
18,47,83,10,53.0,86.0,10
19,22,3,3,166.0,199.0,10
20,77,61,10,40.0,90.0,10
21,91,49,2,118.0,159.0,10
22,91,6,2,166.0,195.0,10
23,51,84,4,39.0,68.0,10
24,9,66,2,209.0,230.0,10
25,40,49,4,186.0,224.0,10
26,11,46,8,82.0,135.0,10
27,67,97,1,108.0,128.0,10
28,3,75,1,206.0,230.0,10
29,51,43,2,0.0,46.0,10
30,38,23,10,40.0,78.0,10
31,70,25,4,166.0,205.0,10
32,94,77,3,104.0,130.0,10
33,48,27,1,67.0,88.0,10
34,60,80,10,68.0,124.0,10
35,92,6,6,161.0,197.0,10
36,78,75,9,129.0,151.0,10
37,51,76,9,132.0,175.0,10
38,100,99,8,170.0,217.0,10
39,87,4,9,99.0,151.0,10
40,72,40,8,72.0,132.0,10
41,36,78,6,177.0,217.0,10
42,66,83,1,58.0,93.0,10
43,14,55,7,170.0,230.0,10
44,77,11,2,120.0,156.0,10
45,97,93,4,162.0,203.0,10
46,31,21,6,181.0,230.0,10
47,18,34,2,6.0,35.0,10
48,33,89,6,197.0,220.0,10
49,33,58,7,182.0,230.0,10
50,28,85,8,163.0,196.0,10
51,63,12,5,17.0,60.0,10
52,22,27,4,52.0,73.0,10
53,15,96,4,190.0,230.0,10
54,49,23,5,188.0,230.0,10
55,10,97,7,58.0,92.0,10
56,49,53,6,201.0,230.0,10
57,93,8,4,197.0,230.0,10
58,8,57,1,43.0,85.0,10
59,89,26,1,195.0,216.0,10
60,71,0,3,165.0,206.0,10
61,28,99,7,53.0,77.0,10
62,6,32,1,21.0,55.0,10
63,62,45,8,151.0,189.0,10
64,13,95,5,58.0,87.0,10
65,44,9,2,73.0,110.0,10
66,71,18,6,171.0,230.0,10
67,10,11,2,132.0,179.0,10
68,86,59,10,192.0,230.0,10
69,35,45,9,113.0,149.0,10
70,34,77,1,159.0,186.0,10
71,35,49,9,109.0,166.0,10
72,5,62,7,15.0,63.0,10
73,81,29,7,191.0,230.0,10
74,4,74,3,190.0,230.0,10
75,51,56,1,190.0,230.0,10
76,38,79,3,169.0,189.0,10
77,38,83,10,183.0,209.0,10
78,12,13,5,122.0,152.0,10
79,38,31,4,120.0,168.0,10
80,94,15,2,130.0,161.0,10
81,10,37,6,139.0,182.0,10
82,53,28,7,72.0,124.0,10
83,25,51,7,179.0,230.0,10
84,0,10,8,88.0,134.0,10
85,75,16,5,171.0,230.0,10
86,42,38,10,162.0,216.0,10
87,92,8,4,201.0,230.0,10
88,19,100,4,201.0,226.0,10
89,32,27,5,189.0,230.0,10
90,30,3,10,198.0,230.0,10
91,47,11,5,97.0,130.0,10
92,25,55,2,100.0,153.0,10
93,21,76,10,192.0,230.0,10
94,33,50,1,121.0,148.0,10
95,84,31,4,209.0,230.0,10
96,50,74,5,153.0,197.0,10
97,36,98,7,32.0,87.0,10
98,66,77,10,203.0,230.0,10
99,70,83,4,51.0,87.0,10
100,97,38,1,43.0,65.0,10
