CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,88,68,2,40.0,74.0,10
2,89,90,2,210.0,230.0,10
3,76,83,9,76.0,97.0,10
4,80,33,5,88.0,122.0,10
5,92,17,1,170.0,200.0,10
6,89,79,4,79.0,126.0,10
7,68,45,3,104.0,131.0,10
8,76,83,2,91.0,111.0,10
9,95,17,3,190.0,216.0,10
10,22,87,6,186.0,230.0,10
11,78,4,1,56.0,110.0,10
12,6,11,1,139.0,197.0,10
13,91,71,10,69.0,89.0,10
14,100,98,9,209.0,230.0,10
15,56,29,10,199.0,230.0,10
16,88,0,5,121.0,156.0,10
17,45,62,5,141.0,185.0,10
18,59,14,1,0.0,59.0,10
19,88,42,7,62.0,116.0,10
20,32,89,9,124.0,144.0,10
21,53,15,2,205.0,230.0,10
22,40,2,7,110.0,159.0,10
23,81,94,9,127.0,181.0,10
24,90,54,3,126.0,183.0,10
25,0,8,8,129.0,162.0,10
26,28,78,5,202.0,230.0,10
27,46,57,1,60.0,92.0,10
28,11,48,7,72.0,129.0,10
29,61,57,4,180.0,225.0,10
30,15,32,7,46.0,105.0,10
31,43,79,7,78.0,115.0,10
32,99,5,1,149.0,181.0,10
33,51,98,3,191.0,230.0,10
34,15,61,2,187.0,216.0,10
35,96,5,9,146.0,183.0,10
36,91,58,5,137.0,197.0,10
37,45,48,2,198.0,230.0,10
38,44,60,9,199.0,230.0,10
39,30,38,4,51.0,84.0,10
40,0,31,8,26.0,77.0,10
41,37,3,5,37.0,59.0,10
42,0,53,7,107.0,135.0,10
43,9,47,10,104.0,160.0,10
44,56,63,10,189.0,230.0,10
45,12,15,3,181.0,203.0,10
46,96,45,5,97.0,136.0,10
47,48,6,2,176.0,230.0,10
48,28,52,5,65.0,99.0,10
49,93,49,7,118.0,149.0,10
50,41,81,8,86.0,123.0,10
51,36,28,5,68.0,123.0,10
52,93,48,4,110.0,132.0,10
53,37,26,6,155.0,179.0,10
54,22,5,8,10.0,51.0,10
55,24,13,5,188.0,228.0,10
56,79,99,2,189.0,230.0,10
57,61,82,6,193.0,230.0,10
58,96,93,7,184.0,230.0,10
59,46,44,5,141.0,192.0,10
60,96,36,2,201.0,230.0,10
61,96,50,7,52.0,74.0,10
62,83,22,7,62.0,98.0,10
63,43,60,2,204.0,230.0,10
64,22,99,10,172.0,230.0,10
65,40,8,8,125.0,166.0,10
66,8,96,6,118.0,149.0,10
67,18,78,3,19.0,73.0,10
68,64,13,4,34.0,63.0,10
69,55,90,2,162.0,219.0,10
70,47,36,3,175.0,230.0,10
71,1,10,5,126.0,162.0,10
72,7,29,3,58.0,110.0,10
73,7,84,10,136.0,180.0,10
74,40,85,9,111.0,133.0,10
75,10,34,5,0.0,41.0,10
76,80,82,10,172.0,230.0,10
77,34,45,4,199.0,229.0,10
78,72,80,2,99.0,154.0,10
79,90,20,4,37.0,78.0,10
80,91,61,1,143.0,203.0,10
81,85,90,5,61.0,94.0,10
82,68,43,3,22.0,52.0,10
83,79,36,10,185.0,230.0,10
84,60,89,6,103.0,131.0,10
85,65,15,5,83.0,140.0,10
86,96,41,5,65.0,96.0,10
87,10,52,8,6.0,36.0,10
88,13,28,8,91.0,111.0,10
89,6,69,9,206.0,230.0,10
90,49,96,2,41.0,77.0,10
91,31,97,2,131.0,164.0,10
92,50,51,3,182.0,230.0,10
93,15,97,10,200.0,230.0,10
94,56,73,1,21.0,47.0,10
95,42,41,10,185.0,230.0,10
96,48,58,5,210.0,230.0,10
97,39,35,10,122.0,180.0,10
98,88,78,4,73.0,128.0,10
99,0,37,10,136.0,183.0,10
100,47,36,6,9.0,30.0,10
