CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,66,54,5,202.0,230.0,10
2,82,58,1,206.0,230.0,10
3,30,74,6,76.0,114.0,10
4,43,84,9,177.0,230.0,10
5,71,87,4,207.0,230.0,10
6,2,53,1,194.0,230.0,10
7,18,3,8,153.0,179.0,10
8,43,62,7,99.0,150.0,10
9,10,84,1,174.0,230.0,10
10,65,90,3,105.0,126.0,10
11,14,19,3,73.0,118.0,10
12,56,51,2,178.0,230.0,10
13,55,99,7,53.0,110.0,10
14,46,96,9,205.0,230.0,10
15,19,43,2,0.0,38.0,10
16,55,71,10,73.0,106.0,10
17,23,90,7,31.0,64.0,10
18,54,80,4,180.0,230.0,10
19,18,17,9,128.0,184.0,10
20,98,69,8,179.0,230.0,10
21,67,100,3,182.0,230.0,10
22,5,45,9,35.0,82.0,10
23,6,79,7,38.0,69.0,10
24,61,59,9,103.0,127.0,10
25,74,85,2,201.0,230.0,10
26,6,46,8,20.0,47.0,10
27,21,46,8,201.0,228.0,10
28,73,28,7,43.0,97.0,10
29,23,45,3,176.0,212.0,10
30,8,73,7,61.0,85.0,10
31,21,37,5,51.0,105.0,10
32,27,84,9,88.0,145.0,10
33,23,26,7,41.0,93.0,10
34,55,14,8,8.0,65.0,10
35,83,33,3,57.0,101.0,10
36,25,81,1,121.0,166.0,10
37,9,57,5,150.0,181.0,10
38,49,74,4,173.0,230.0,10
39,35,89,4,44.0,75.0,10
40,15,95,4,118.0,177.0,10
41,47,76,10,135.0,157.0,10
42,78,69,1,201.0,230.0,10
43,29,61,4,84.0,106.0,10
44,35,33,3,182.0,230.0,10
45,37,45,7,178.0,220.0,10
46,60,96,3,172.0,230.0,10
47,99,42,1,96.0,147.0,10
48,86,92,3,187.0,230.0,10
49,61,47,7,174.0,230.0,10
50,94,12,6,112.0,137.0,10
51,17,21,2,102.0,123.0,10
52,24,24,2,116.0,143.0,10
53,64,24,7,155.0,179.0,10
54,34,2,5,187.0,221.0,10
55,95,61,9,139.0,180.0,10
56,38,74,9,171.0,230.0,10
57,71,69,7,120.0,159.0,10
58,41,5,4,198.0,230.0,10
59,43,20,8,6.0,36.0,10
60,68,18,6,76.0,96.0,10
61,40,24,5,176.0,230.0,10
62,62,26,1,25.0,50.0,10
63,89,96,8,194.0,230.0,10
64,36,78,3,177.0,230.0,10
65,71,14,8,35.0,82.0,10
66,34,89,8,58.0,93.0,10
67,14,56,1,150.0,175.0,10
68,60,55,6,21.0,64.0,10
69,60,82,9,175.0,209.0,10
70,45,76,4,130.0,187.0,10
71,1,70,3,113.0,151.0,10
72,16,89,8,154.0,181.0,10
73,14,74,4,201.0,230.0,10
74,73,26,4,21.0,64.0,10
75,93,61,4,162.0,211.0,10
76,77,48,1,24.0,44.0,10
77,63,81,3,55.0,91.0,10
78,24,76,7,119.0,140.0,10
79,65,83,9,32.0,85.0,10
80,40,40,3,184.0,210.0,10
81,38,36,3,66.0,113.0,10
82,17,56,6,72.0,119.0,10
83,49,68,4,203.0,230.0,10
84,80,92,4,184.0,230.0,10
85,16,84,9,172.0,230.0,10
86,93,100,4,202.0,230.0,10
87,17,66,10,173.0,230.0,10
88,95,48,10,169.0,218.0,10
89,1,14,6,21.0,61.0,10
90,21,74,9,178.0,204.0,10
91,56,98,5,51.0,82.0,10
92,89,61,4,183.0,230.0,10
93,95,82,4,186.0,230.0,10
94,31,73,8,68.0,126.0,10
95,71,40,2,144.0,165.0,10
96,91,38,5,96.0,126.0,10
97,89,79,10,64.0,92.0,10
98,26,55,8,204.0,230.0,10
99,50,63,9,151.0,195.0,10
100,69,20,9,79.0,115.0,10
