CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,18,58,6,188.0,230.0,10
2,5,26,1,26.0,53.0,10
3,27,76,10,180.0,230.0,10
4,1,42,7,40.0,89.0,10
5,43,2,7,96.0,128.0,10
6,47,71,9,186.0,206.0,10
7,75,88,1,97.0,131.0,10
8,28,19,8,49.0,82.0,10
9,34,73,9,195.0,230.0,10
10,53,11,10,48.0,80.0,10
11,2,87,2,104.0,135.0,10
12,74,44,10,171.0,230.0,10
13,96,33,7,142.0,181.0,10
14,80,20,1,164.0,189.0,10
15,26,24,6,130.0,178.0,10
16,81,88,9,66.0,105.0,10
17,82,7,10,159.0,203.0,10
18,42,79,1,22.0,50.0,10
19,11,19,7,61.0,92.0,10
20,88,21,8,196.0,230.0,10
21,88,24,5,203.0,230.0,10
22,55,17,7,47.0,98.0,10
23,94,30,6,108.0,167.0,10
24,53,36,8,189.0,230.0,10
25,80,47,4,170.0,230.0,10
26,41,18,5,0.0,45.0,10
27,45,3,1,108.0,142.0,10
28,97,67,7,113.0,168.0,10
29,34,3,3,46.0,102.0,10
30,80,95,8,125.0,148.0,10
31,66,32,7,97.0,134.0,10
32,53,91,5,175.0,230.0,10
33,17,100,4,187.0,230.0,10
34,74,42,4,199.0,230.0,10
35,36,79,7,159.0,208.0,10
36,79,15,6,190.0,230.0,10
37,80,92,2,77.0,132.0,10
38,71,66,2,195.0,230.0,10
39,11,21,6,35.0,78.0,10
40,14,47,4,0.0,46.0,10
41,59,28,7,194.0,230.0,10
42,60,87,9,38.0,68.0,10
43,13,77,7,42.0,84.0,10
44,92,80,6,133.0,188.0,10
45,22,21,8,114.0,156.0,10
46,51,32,3,196.0,230.0,10
47,81,86,5,209.0,230.0,10
48,53,4,6,25.0,75.0,10
49,15,72,3,62.0,112.0,10
50,92,47,10,202.0,230.0,10
51,28,56,3,3.0,58.0,10
52,21,13,6,8.0,58.0,10
53,67,36,8,177.0,219.0,10
54,90,49,3,178.0,230.0,10
55,86,61,7,99.0,128.0,10
56,64,17,4,125.0,178.0,10
57,11,62,1,194.0,230.0,10
58,22,55,7,145.0,197.0,10
59,78,51,8,32.0,76.0,10
60,39,39,4,178.0,230.0,10
61,53,28,6,93.0,127.0,10
62,34,100,2,185.0,226.0,10
63,2,42,2,24.0,77.0,10
64,22,88,4,177.0,230.0,10
65,61,18,7,124.0,171.0,10
66,97,89,1,200.0,230.0,10
67,8,19,5,44.0,82.0,10
68,83,80,2,203.0,230.0,10
69,94,9,10,51.0,71.0,10
70,74,26,5,176.0,230.0,10
71,21,15,8,0.0,55.0,10
72,72,15,4,189.0,230.0,10
73,97,16,6,178.0,224.0,10
74,81,86,4,39.0,79.0,10
75,82,93,4,81.0,101.0,10
76,92,92,8,187.0,230.0,10
77,7,15,1,55.0,115.0,10
78,34,3,2,68.0,121.0,10
79,10,12,2,78.0,137.0,10
80,12,49,6,175.0,230.0,10
81,19,95,8,174.0,230.0,10
82,40,66,5,179.0,230.0,10
83,36,51,4,123.0,167.0,10
84,44,100,2,44.0,98.0,10
85,72,13,6,200.0,230.0,10
86,3,68,8,189.0,230.0,10
87,31,41,8,159.0,217.0,10
88,29,78,5,188.0,230.0,10
89,61,46,4,63.0,102.0,10
90,98,71,2,143.0,171.0,10
91,76,95,4,143.0,163.0,10
92,77,6,8,93.0,128.0,10
93,73,46,8,173.0,230.0,10
94,98,27,8,54.0,79.0,10
95,46,68,3,147.0,190.0,10
96,43,53,5,87.0,138.0,10
97,36,70,7,149.0,192.0,10
98,78,19,8,141.0,167.0,10
99,53,84,5,131.0,177.0,10
100,26,62,3,18.0,43.0,10
