CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,58,43,1,0.0,55.0,10
2,60,98,1,55.0,81.0,10
3,17,54,1,189.0,230.0,10
4,25,37,4,147.0,198.0,10
5,68,71,3,179.0,230.0,10
6,26,11,9,133.0,182.0,10
7,34,7,8,20.0,57.0,10
8,12,45,8,98.0,130.0,10
9,6,97,1,145.0,190.0,10
10,81,34,1,175.0,230.0,10
11,84,42,7,136.0,183.0,10
12,63,72,1,170.0,230.0,10
13,13,87,4,126.0,153.0,10
14,78,12,10,181.0,230.0,10
15,17,66,5,187.0,230.0,10
16,73,32,6,187.0,209.0,10
17,80,61,8,158.0,192.0,10
18,37,12,3,27.0,78.0,10
19,15,91,2,30.0,70.0,10
20,24,52,5,187.0,230.0,10
21,77,8,4,171.0,230.0,10
22,56,72,1,104.0,152.0,10
23,94,21,3,52.0,98.0,10
24,59,44,5,51.0,91.0,10
25,21,70,4,72.0,125.0,10
26,34,73,1,194.0,230.0,10
27,48,75,3,83.0,125.0,10
28,82,42,3,185.0,210.0,10
29,57,1,1,118.0,152.0,10
30,29,99,2,57.0,97.0,10
31,6,28,9,28.0,60.0,10
32,0,35,3,186.0,223.0,10
33,18,69,2,197.0,229.0,10
34,75,89,10,203.0,230.0,10
35,79,65,8,75.0,130.0,10
36,99,34,2,44.0,80.0,10
37,68,47,10,17.0,60.0,10
38,80,79,4,176.0,230.0,10
39,30,86,5,112.0,144.0,10
40,42,8,6,67.0,98.0,10
41,92,88,6,188.0,230.0,10
42,53,63,4,94.0,137.0,10
43,70,88,1,46.0,88.0,10
44,12,48,4,88.0,128.0,10
45,42,12,7,79.0,115.0,10
46,95,48,10,171.0,230.0,10
47,42,94,10,189.0,230.0,10
48,91,43,3,162.0,193.0,10
49,87,64,1,133.0,179.0,10
50,54,98,9,121.0,162.0,10
51,1,16,4,65.0,101.0,10
52,88,49,8,197.0,230.0,10
53,16,54,7,13.0,34.0,10
54,42,25,7,158.0,213.0,10
55,82,48,1,182.0,230.0,10
56,96,28,1,130.0,162.0,10
57,14,69,2,170.0,230.0,10
58,82,60,1,111.0,143.0,10
59,69,30,8,109.0,137.0,10
60,50,87,7,181.0,230.0,10
61,37,46,10,172.0,230.0,10
62,28,67,5,134.0,164.0,10
63,83,40,6,62.0,104.0,10
64,31,76,6,91.0,136.0,10
65,16,16,6,96.0,139.0,10
66,41,55,8,161.0,206.0,10
67,89,41,8,88.0,120.0,10
68,8,23,7,42.0,68.0,10
69,95,75,7,176.0,221.0,10
70,34,61,7,184.0,230.0,10
71,3,45,6,122.0,142.0,10
72,51,46,5,111.0,166.0,10
73,17,31,1,0.0,46.0,10
74,66,39,1,111.0,159.0,10
75,14,70,1,173.0,230.0,10
76,4,62,7,24.0,59.0,10
77,18,81,2,59.0,116.0,10
78,96,76,9,44.0,89.0,10
79,72,33,5,202.0,230.0,10
80,47,58,2,164.0,196.0,10
81,41,84,8,209.0,230.0,10
82,52,3,5,106.0,154.0,10
83,27,70,3,154.0,207.0,10
84,33,77,4,30.0,69.0,10
85,76,31,4,169.0,224.0,10
86,60,72,10,31.0,76.0,10
87,14,97,1,206.0,230.0,10
88,19,48,10,46.0,102.0,10
89,64,42,3,188.0,230.0,10
90,23,21,1,129.0,175.0,10
91,20,24,9,87.0,135.0,10
92,63,23,10,14.0,63.0,10
93,90,24,2,70.0,90.0,10
94,50,72,6,184.0,204.0,10
95,80,72,3,196.0,218.0,10
96,39,0,2,42.0,100.0,10
97,7,99,9,120.0,175.0,10
98,93,65,5,113.0,133.0,10
99,45,54,8,137.0,185.0,10
100,41,70,8,180.0,230.0,10
