CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,68,68,7,199.0,230.0,10
2,18,83,4,195.0,230.0,10
3,57,8,3,53.0,96.0,10
4,63,41,9,149.0,169.0,10
5,40,29,4,87.0,134.0,10
6,53,83,7,135.0,159.0,10
7,61,63,2,186.0,230.0,10
8,92,32,4,172.0,230.0,10
9,81,74,3,165.0,211.0,10
10,67,34,6,14.0,43.0,10
11,1,48,5,187.0,212.0,10
12,81,73,10,141.0,200.0,10
13,96,51,6,198.0,218.0,10
14,23,68,5,17.0,57.0,10
15,41,47,7,0.0,49.0,10
16,28,25,7,42.0,77.0,10
17,29,40,7,69.0,127.0,10
18,45,58,10,72.0,117.0,10
19,17,78,6,24.0,78.0,10
20,74,53,4,179.0,230.0,10
21,7,89,5,58.0,114.0,10
22,78,93,9,142.0,170.0,10
23,45,78,2,182.0,211.0,10
24,1,20,8,49.0,90.0,10
25,67,7,7,140.0,188.0,10
26,90,50,7,176.0,230.0,10
27,58,6,7,61.0,88.0,10
28,63,90,1,204.0,230.0,10
29,65,94,9,185.0,230.0,10
30,63,7,8,141.0,183.0,10
31,71,83,4,98.0,147.0,10
32,75,42,10,124.0,144.0,10
33,54,30,6,179.0,230.0,10
34,92,28,1,202.0,230.0,10
35,48,91,2,181.0,230.0,10
36,41,23,1,80.0,133.0,10
37,79,91,3,80.0,116.0,10
38,84,9,2,42.0,100.0,10
39,48,91,10,203.0,230.0,10
40,32,9,4,46.0,105.0,10
41,68,42,6,115.0,175.0,10
42,76,92,1,136.0,184.0,10
43,84,25,7,189.0,230.0,10
44,7,14,3,141.0,181.0,10
45,79,79,7,187.0,230.0,10
46,13,50,6,100.0,132.0,10
47,21,31,2,25.0,61.0,10
48,43,80,7,40.0,64.0,10
49,33,87,8,73.0,97.0,10
50,54,74,10,41.0,94.0,10
51,73,94,3,204.0,230.0,10
52,30,95,4,90.0,120.0,10
53,70,21,1,71.0,121.0,10
54,94,43,8,85.0,116.0,10
55,36,9,7,77.0,104.0,10
56,31,33,8,112.0,132.0,10
57,89,14,10,141.0,161.0,10
58,63,24,6,91.0,113.0,10
59,52,61,2,198.0,225.0,10
60,56,78,7,50.0,81.0,10
61,92,80,5,67.0,99.0,10
62,13,96,4,176.0,230.0,10
63,89,34,8,55.0,86.0,10
64,58,2,2,39.0,65.0,10
65,68,24,5,175.0,230.0,10
66,12,65,6,30.0,54.0,10
67,13,32,1,7.0,50.0,10
68,60,55,8,108.0,150.0,10
69,27,91,2,152.0,195.0,10
70,94,15,2,152.0,185.0,10
71,31,69,5,105.0,161.0,10
72,85,80,6,164.0,216.0,10
73,74,53,4,183.0,230.0,10
74,72,70,5,208.0,229.0,10
75,84,47,10,181.0,220.0,10
76,54,99,6,140.0,193.0,10
77,68,52,7,14.0,43.0,10
78,95,1,5,199.0,230.0,10
79,87,100,4,70.0,97.0,10
80,14,17,6,141.0,198.0,10
81,2,88,7,88.0,140.0,10
82,6,88,3,84.0,121.0,10
83,100,53,5,204.0,230.0,10
84,49,24,10,172.0,230.0,10
85,75,29,2,190.0,230.0,10
86,89,52,4,30.0,79.0,10
87,100,64,4,150.0,190.0,10
88,22,19,10,15.0,39.0,10
89,17,95,7,203.0,230.0,10
90,87,41,5,49.0,101.0,10
91,63,20,8,17.0,59.0,10
92,32,37,9,120.0,170.0,10
93,17,62,3,5.0,52.0,10
94,60,46,7,110.0,141.0,10
95,44,22,3,8.0,28.0,10
96,34,89,6,49.0,85.0,10
97,13,84,7,62.0,86.0,10
98,96,55,10,38.0,94.0,10
99,28,61,7,183.0,230.0,10
100,27,28,5,0.0,48.0,10
