CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,66,26,9,136.0,157.0,10
2,29,81,10,43.0,98.0,10
3,4,96,8,178.0,230.0,10
4,93,6,8,121.0,158.0,10
5,61,79,2,82.0,138.0,10
6,91,0,1,68.0,120.0,10
7,67,35,7,190.0,230.0,10
8,26,95,6,75.0,134.0,10
9,68,33,7,191.0,230.0,10
10,56,6,8,46.0,67.0,10
11,29,48,5,189.0,230.0,10
12,5,2,5,91.0,140.0,10
13,76,80,4,196.0,230.0,10
14,75,4,5,108.0,128.0,10
15,65,45,4,174.0,196.0,10
16,26,18,7,154.0,200.0,10
17,5,77,8,28.0,87.0,10
18,86,22,4,135.0,186.0,10
19,85,69,2,178.0,230.0,10
20,62,24,5,13.0,49.0,10
21,59,53,6,194.0,230.0,10
22,60,16,4,22.0,53.0,10
23,13,27,7,24.0,57.0,10
24,28,34,7,6.0,29.0,10
25,45,95,10,123.0,164.0,10
26,17,87,10,168.0,213.0,10
27,42,23,2,0.0,49.0,10
28,63,2,7,38.0,75.0,10
29,49,61,1,161.0,215.0,10
30,75,45,8,105.0,136.0,10
31,51,29,9,44.0,76.0,10
32,5,40,10,18.0,59.0,10
33,51,63,7,116.0,145.0,10
34,16,21,4,66.0,117.0,10
35,58,9,8,72.0,101.0,10
36,51,78,1,34.0,69.0,10
37,14,52,3,100.0,130.0,10
38,56,52,10,0.0,60.0,10
39,18,59,2,0.0,44.0,10
40,72,18,8,152.0,197.0,10
41,93,47,5,54.0,85.0,10
42,99,93,7,64.0,111.0,10
43,81,21,1,71.0,130.0,10
44,78,23,2,18.0,52.0,10
45,50,31,7,98.0,141.0,10
46,67,81,1,61.0,101.0,10
47,75,8,8,57.0,77.0,10
48,41,84,2,145.0,186.0,10
49,12,71,3,176.0,230.0,10
50,56,56,9,165.0,194.0,10
51,8,83,8,210.0,230.0,10
52,86,21,5,32.0,92.0,10
53,46,59,1,177.0,205.0,10
54,31,59,2,119.0,179.0,10
55,65,72,1,38.0,69.0,10
56,70,43,3,97.0,142.0,10
57,73,21,4,74.0,116.0,10
58,53,67,3,157.0,179.0,10
59,2,93,10,172.0,230.0,10
60,68,49,7,170.0,212.0,10
61,70,81,4,62.0,92.0,10
62,3,16,10,45.0,77.0,10
63,40,55,4,64.0,88.0,10
64,79,86,2,209.0,230.0,10
65,9,51,6,124.0,153.0,10
66,11,65,2,78.0,131.0,10
67,29,91,2,39.0,84.0,10
68,68,25,2,114.0,135.0,10
69,52,65,1,132.0,182.0,10
70,71,31,3,192.0,227.0,10
71,88,24,7,141.0,192.0,10
72,2,50,3,140.0,160.0,10
73,5,76,8,70.0,91.0,10
74,45,80,1,94.0,140.0,10
75,78,7,7,63.0,90.0,10
76,3,90,8,186.0,230.0,10
77,72,69,2,124.0,171.0,10
78,70,32,1,179.0,230.0,10
79,77,33,7,184.0,230.0,10
80,74,2,5,77.0,126.0,10
81,46,5,2,175.0,230.0,10
82,60,47,2,194.0,228.0,10
83,79,84,6,199.0,230.0,10
84,96,100,10,205.0,230.0,10
85,96,66,10,181.0,230.0,10
86,10,37,9,26.0,75.0,10
87,88,35,4,37.0,77.0,10
88,34,79,8,175.0,228.0,10
89,65,84,4,78.0,119.0,10
90,30,88,6,191.0,230.0,10
91,82,11,7,111.0,145.0,10
92,83,83,9,178.0,230.0,10
93,10,14,4,87.0,125.0,10
94,18,76,5,177.0,230.0,10
95,37,81,8,157.0,201.0,10
96,66,58,1,200.0,230.0,10
97,86,49,10,143.0,167.0,10
98,67,70,1,193.0,230.0,10
99,27,21,2,142.0,173.0,10
100,75,76,8,171.0,230.0,10
