CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,40,47,9,179.0,230.0,10
2,50,36,1,172.0,230.0,10
3,99,15,6,49.0,77.0,10
4,90,21,4,116.0,139.0,10
5,62,95,4,185.0,230.0,10
6,69,6,3,105.0,158.0,10
7,93,75,4,144.0,196.0,10
8,94,94,2,200.0,230.0,10
9,93,98,8,201.0,230.0,10
10,55,82,2,177.0,230.0,10
11,99,8,3,109.0,159.0,10
12,100,76,6,101.0,159.0,10
13,99,69,10,67.0,87.0,10
14,26,20,10,123.0,158.0,10
15,43,3,3,171.0,230.0,10
16,36,1,1,166.0,222.0,10
17,19,43,2,140.0,195.0,10
18,68,72,4,195.0,230.0,10
19,80,9,9,71.0,113.0,10
20,8,96,3,193.0,230.0,10
21,65,50,7,187.0,215.0,10
22,18,35,6,208.0,230.0,10
23,33,99,2,41.0,81.0,10
24,38,4,2,171.0,230.0,10
25,47,58,3,100.0,126.0,10
26,33,19,7,135.0,183.0,10
27,64,82,1,30.0,89.0,10
28,66,46,5,161.0,197.0,10
29,27,29,1,65.0,95.0,10
30,48,85,10,191.0,230.0,10
31,25,56,6,14.0,51.0,10
32,91,34,8,201.0,230.0,10
33,77,67,10,182.0,209.0,10
34,100,40,10,51.0,97.0,10
35,63,29,1,172.0,196.0,10
36,75,23,6,82.0,139.0,10
37,10,89,3,190.0,230.0,10
38,95,67,10,73.0,117.0,10
39,60,31,10,205.0,230.0,10
40,11,96,10,205.0,227.0,10
41,50,67,4,119.0,155.0,10
42,5,36,1,176.0,230.0,10
43,14,88,5,207.0,230.0,10
44,25,76,6,76.0,129.0,10
45,0,83,10,45.0,98.0,10
46,49,74,7,194.0,230.0,10
47,92,43,2,79.0,129.0,10
48,55,30,5,155.0,197.0,10
49,11,97,7,187.0,217.0,10
50,5,32,2,1.0,47.0,10
51,43,90,5,55.0,81.0,10
52,37,7,2,195.0,230.0,10
53,55,60,9,176.0,230.0,10
54,84,9,2,73.0,133.0,10
55,37,74,3,202.0,227.0,10
56,2,70,4,82.0,116.0,10
57,28,26,2,82.0,136.0,10
58,65,83,4,23.0,75.0,10
59,67,10,8,22.0,64.0,10
60,31,49,7,128.0,150.0,10
61,26,19,9,125.0,161.0,10
62,29,49,9,207.0,230.0,10
63,44,55,2,136.0,164.0,10
64,45,33,2,187.0,230.0,10
65,90,67,4,72.0,117.0,10
66,97,32,4,185.0,230.0,10
67,10,88,10,194.0,230.0,10
68,39,96,4,175.0,200.0,10
69,99,57,7,124.0,155.0,10
70,44,15,2,39.0,71.0,10
71,15,56,5,103.0,130.0,10
72,51,9,3,46.0,101.0,10
73,36,64,3,203.0,230.0,10
74,37,60,8,104.0,150.0,10
75,93,47,2,84.0,139.0,10
76,54,85,5,187.0,230.0,10
77,85,3,8,59.0,97.0,10
78,2,39,4,174.0,227.0,10
79,46,5,7,13.0,56.0,10
80,46,94,9,31.0,81.0,10
81,2,20,3,21.0,67.0,10
82,41,83,4,75.0,124.0,10
83,58,46,7,159.0,213.0,10
84,78,99,8,180.0,230.0,10
85,62,12,6,1.0,58.0,10
86,90,64,5,196.0,230.0,10
87,49,21,3,76.0,134.0,10
88,31,99,6,63.0,97.0,10
89,88,70,1,120.0,170.0,10
90,59,27,10,182.0,208.0,10
91,100,41,6,49.0,84.0,10
92,39,82,6,94.0,130.0,10
93,7,97,6,182.0,230.0,10
94,14,48,4,143.0,166.0,10
95,43,14,10,23.0,80.0,10
96,31,31,2,78.0,117.0,10
97,46,83,10,200.0,230.0,10
98,91,38,1,202.0,230.0,10
99,70,30,9,180.0,230.0,10
100,11,50,2,120.0,169.0,10
