CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,87,28,2,112.0,132.0,10
2,53,72,6,187.0,230.0,10
3,81,5,2,176.0,230.0,10
4,0,71,5,206.0,230.0,10
5,7,10,10,137.0,174.0,10
6,4,26,1,16.0,64.0,10
7,84,30,2,25.0,70.0,10
8,40,69,2,117.0,156.0,10
9,10,88,3,207.0,230.0,10
10,89,44,9,139.0,193.0,10
11,41,42,9,203.0,230.0,10
12,30,32,5,58.0,117.0,10
13,65,90,3,194.0,228.0,10
14,53,94,1,47.0,96.0,10
15,20,24,6,109.0,130.0,10
16,77,10,7,31.0,52.0,10
17,7,99,5,179.0,230.0,10
18,8,24,6,27.0,80.0,10
19,17,33,5,0.0,45.0,10
20,55,97,9,52.0,80.0,10
21,7,12,1,110.0,154.0,10
22,54,74,1,204.0,230.0,10
23,30,14,5,76.0,127.0,10
24,93,59,8,71.0,110.0,10
25,78,79,7,34.0,78.0,10
26,54,25,8,87.0,134.0,10
27,32,47,2,121.0,144.0,10
28,81,29,6,112.0,138.0,10
29,44,100,9,143.0,180.0,10
30,12,53,6,180.0,230.0,10
31,63,5,3,147.0,188.0,10
32,84,52,7,56.0,92.0,10
33,23,92,7,64.0,95.0,10
34,93,53,6,173.0,230.0,10
35,97,28,7,158.0,183.0,10
36,45,82,9,82.0,127.0,10
37,11,10,3,184.0,230.0,10
38,100,23,1,74.0,112.0,10
39,71,10,7,196.0,230.0,10
40,30,47,2,187.0,230.0,10
41,77,81,1,176.0,221.0,10
42,51,26,6,72.0,97.0,10
43,24,0,5,10.0,45.0,10
44,11,99,7,168.0,222.0,10
45,72,5,10,197.0,230.0,10
46,86,30,2,45.0,80.0,10
47,70,36,6,101.0,140.0,10
48,51,27,2,110.0,141.0,10
49,98,33,8,75.0,112.0,10
50,91,48,2,161.0,218.0,10
51,90,48,6,171.0,230.0,10
52,57,24,9,99.0,151.0,10
53,3,70,1,193.0,230.0,10
54,76,91,7,188.0,230.0,10
55,21,22,7,170.0,204.0,10
56,51,63,5,150.0,172.0,10
57,12,61,10,180.0,230.0,10
58,89,90,9,174.0,230.0,10
59,85,19,5,40.0,64.0,10
60,31,21,7,65.0,98.0,10
61,40,9,1,78.0,138.0,10
62,36,83,3,168.0,210.0,10
63,91,93,2,77.0,99.0,10
64,47,60,4,196.0,230.0,10
65,83,6,2,194.0,230.0,10
66,7,37,10,17.0,48.0,10
67,22,61,4,91.0,136.0,10
68,14,46,8,202.0,230.0,10
69,90,75,4,171.0,230.0,10
70,97,61,4,96.0,128.0,10
71,78,95,6,62.0,93.0,10
72,5,78,4,152.0,177.0,10
73,51,52,10,147.0,170.0,10
74,22,17,8,194.0,230.0,10
75,19,18,3,192.0,230.0,10
76,23,37,2,184.0,230.0,10
77,42,29,7,173.0,227.0,10
78,4,98,4,66.0,86.0,10
79,44,50,6,127.0,155.0,10
80,68,52,7,132.0,164.0,10
81,35,50,3,181.0,230.0,10
82,25,47,6,181.0,230.0,10
83,86,52,6,34.0,56.0,10
84,25,39,1,204.0,230.0,10
85,60,3,2,131.0,156.0,10
86,95,76,10,175.0,230.0,10
87,97,15,6,172.0,214.0,10
88,89,50,1,196.0,223.0,10
89,26,6,4,31.0,91.0,10
90,35,64,8,190.0,230.0,10
91,35,47,4,176.0,230.0,10
92,62,72,3,205.0,230.0,10
93,9,42,10,198.0,230.0,10
94,64,37,7,111.0,154.0,10
95,35,90,3,191.0,230.0,10
96,88,29,7,119.0,166.0,10
97,40,38,2,164.0,194.0,10
98,96,19,5,61.0,93.0,10
99,35,93,9,45.0,73.0,10
100,36,94,3,182.0,230.0,10
