CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,36,23,9,13.0,65.0,10
2,13,10,7,172.0,211.0,10
3,22,32,5,77.0,102.0,10
4,60,74,1,97.0,143.0,10
5,90,32,7,111.0,166.0,10
6,86,84,6,196.0,230.0,10
7,16,59,1,197.0,230.0,10
8,53,13,1,202.0,227.0,10
9,27,61,7,134.0,181.0,10
10,68,77,10,51.0,80.0,10
11,98,8,1,150.0,197.0,10
12,92,14,3,177.0,214.0,10
13,41,96,8,210.0,230.0,10
14,48,77,6,73.0,117.0,10
15,66,70,4,27.0,86.0,10
16,53,81,3,189.0,230.0,10
17,39,68,1,200.0,230.0,10
18,57,52,1,174.0,203.0,10
19,34,78,10,85.0,129.0,10
20,32,95,9,124.0,149.0,10
21,41,36,7,177.0,230.0,10
22,44,70,3,123.0,175.0,10
23,81,11,10,130.0,166.0,10
24,17,88,5,164.0,205.0,10
25,5,71,4,173.0,230.0,10
26,86,87,1,197.0,230.0,10
27,90,20,3,45.0,82.0,10
28,76,67,4,187.0,230.0,10
29,18,16,2,166.0,192.0,10
30,63,64,5,175.0,230.0,10
31,1,58,6,26.0,65.0,10
32,92,23,8,46.0,98.0,10
33,29,90,10,150.0,187.0,10
34,12,33,1,0.0,52.0,10
35,62,85,1,141.0,181.0,10
36,60,76,5,107.0,157.0,10
37,37,14,6,38.0,85.0,10
38,67,33,5,97.0,120.0,10
39,36,79,6,31.0,72.0,10
40,48,61,1,165.0,204.0,10
41,62,17,8,85.0,113.0,10
42,67,7,1,21.0,63.0,10
43,92,55,6,172.0,230.0,10
44,43,14,7,99.0,147.0,10
45,44,4,8,78.0,104.0,10
46,38,77,1,176.0,230.0,10
47,23,84,9,42.0,90.0,10
48,66,55,3,130.0,187.0,10
49,66,51,6,157.0,203.0,10
50,8,57,2,14.0,51.0,10
51,73,88,6,73.0,104.0,10
52,50,17,8,209.0,230.0,10
53,19,88,10,87.0,132.0,10
54,23,82,9,45.0,97.0,10
55,50,90,7,89.0,138.0,10
56,56,91,5,56.0,76.0,10
57,17,55,10,193.0,230.0,10
58,0,27,4,33.0,90.0,10
59,57,84,2,181.0,230.0,10
60,54,47,4,120.0,141.0,10
61,99,74,1,67.0,92.0,10
62,80,48,5,201.0,230.0,10
63,36,11,10,14.0,46.0,10
64,9,43,6,78.0,115.0,10
65,79,3,10,32.0,90.0,10
66,18,93,3,85.0,123.0,10
67,65,15,8,96.0,142.0,10
68,8,30,5,32.0,64.0,10
69,67,48,8,210.0,230.0,10
70,18,37,6,83.0,137.0,10
71,49,11,8,146.0,193.0,10
72,21,49,8,176.0,230.0,10
73,29,75,9,16.0,60.0,10
74,13,38,7,82.0,141.0,10
75,26,0,2,192.0,230.0,10
76,66,39,9,181.0,222.0,10
77,96,67,5,207.0,230.0,10
78,7,69,1,186.0,230.0,10
79,98,32,2,129.0,183.0,10
80,40,3,10,60.0,92.0,10
81,99,61,4,43.0,101.0,10
82,41,83,10,191.0,219.0,10
83,40,81,1,200.0,230.0,10
84,22,28,5,130.0,173.0,10
85,70,86,7,60.0,120.0,10
86,40,56,9,152.0,212.0,10
87,96,69,1,201.0,230.0,10
88,35,58,8,73.0,100.0,10
89,36,65,6,26.0,46.0,10
90,41,27,3,170.0,224.0,10
91,53,84,1,50.0,89.0,10
92,8,44,5,49.0,96.0,10
93,21,31,7,125.0,161.0,10
94,74,13,8,115.0,155.0,10
95,39,45,8,185.0,230.0,10
96,20,14,9,192.0,230.0,10
97,67,48,7,12.0,53.0,10
98,5,28,5,98.0,131.0,10
99,50,0,10,133.0,178.0,10
100,50,42,1,119.0,154.0,10
