CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,77,8,10,170.0,230.0,10
2,45,49,5,170.0,230.0,10
3,94,100,8,179.0,230.0,10
4,52,47,3,199.0,230.0,10
5,80,21,7,92.0,114.0,10
6,99,80,10,194.0,230.0,10
7,70,13,9,33.0,67.0,10
8,45,59,5,186.0,215.0,10
9,27,27,7,109.0,148.0,10
10,21,56,4,184.0,222.0,10
11,27,89,2,206.0,230.0,10
12,54,83,9,205.0,230.0,10
13,33,52,8,184.0,230.0,10
14,53,91,9,193.0,230.0,10
15,38,79,6,51.0,73.0,10
16,96,78,9,195.0,230.0,10
17,18,41,6,45.0,66.0,10
18,61,35,9,187.0,207.0,10
19,40,80,8,36.0,56.0,10
20,97,50,6,107.0,142.0,10
21,87,11,4,51.0,87.0,10
22,13,8,7,121.0,180.0,10
23,74,14,7,53.0,105.0,10
24,84,72,6,64.0,98.0,10
25,92,8,3,36.0,84.0,10
26,69,5,9,166.0,192.0,10
27,17,46,2,182.0,230.0,10
28,53,8,7,15.0,38.0,10
29,68,97,3,67.0,105.0,10
30,100,53,7,118.0,176.0,10
31,52,20,1,136.0,175.0,10
32,8,47,9,10.0,51.0,10
33,27,9,10,2.0,37.0,10
34,46,7,6,42.0,89.0,10
35,76,97,6,60.0,80.0,10
36,52,12,10,15.0,69.0,10
37,99,3,7,128.0,158.0,10
38,83,27,8,175.0,230.0,10
39,8,92,9,101.0,145.0,10
40,6,73,8,175.0,230.0,10
41,1,94,9,116.0,174.0,10
42,29,92,1,173.0,230.0,10
43,26,83,5,207.0,230.0,10
44,47,9,9,67.0,93.0,10
45,5,20,4,47.0,79.0,10
46,74,15,9,65.0,97.0,10
47,19,85,8,36.0,77.0,10
48,51,20,9,80.0,133.0,10
49,77,10,7,38.0,96.0,10
50,28,70,1,205.0,230.0,10
51,69,72,7,171.0,230.0,10
52,67,29,2,187.0,230.0,10
53,84,23,6,117.0,143.0,10
54,93,21,10,153.0,178.0,10
55,51,49,6,107.0,152.0,10
56,90,36,5,188.0,230.0,10
57,70,0,1,64.0,92.0,10
58,32,98,7,97.0,123.0,10
59,21,67,6,66.0,96.0,10
60,84,18,10,82.0,131.0,10
61,85,0,7,196.0,230.0,10
62,34,55,3,137.0,194.0,10
63,62,100,10,189.0,230.0,10
64,92,42,3,36.0,76.0,10
65,13,84,3,81.0,137.0,10
66,51,76,7,207.0,230.0,10
67,42,59,1,175.0,230.0,10
68,37,73,4,56.0,97.0,10
69,5,54,6,170.0,230.0,10
70,31,37,9,208.0,230.0,10
71,51,4,6,79.0,105.0,10
72,77,15,5,159.0,198.0,10
73,89,27,4,180.0,230.0,10
74,5,28,3,48.0,70.0,10
75,68,40,2,79.0,120.0,10
76,80,31,4,90.0,144.0,10
77,55,50,10,12.0,45.0,10
78,1,77,9,202.0,230.0,10
79,67,31,5,87.0,117.0,10
80,11,64,8,198.0,230.0,10
81,63,29,4,177.0,220.0,10
82,49,55,5,193.0,230.0,10
83,94,27,5,34.0,69.0,10
84,80,66,5,170.0,230.0,10
85,49,11,3,82.0,135.0,10
86,1,31,9,7.0,65.0,10
87,98,31,9,137.0,164.0,10
88,45,44,9,183.0,207.0,10
89,33,15,5,25.0,80.0,10
90,16,3,10,149.0,189.0,10
91,82,71,2,60.0,111.0,10
92,39,44,7,153.0,194.0,10
93,86,22,8,121.0,151.0,10
94,8,12,10,56.0,101.0,10
95,61,58,8,134.0,173.0,10
96,69,100,3,93.0,127.0,10
97,69,51,6,162.0,210.0,10
98,53,53,5,193.0,213.0,10
99,48,23,8,114.0,160.0,10
100,82,11,9,76.0,114.0,10
