CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,0,88,10,132.0,174.0,10
2,95,70,1,197.0,230.0,10
3,97,35,6,122.0,148.0,10
4,77,100,5,155.0,205.0,10
5,72,38,8,19.0,44.0,10
6,40,65,1,124.0,158.0,10
7,40,68,6,134.0,178.0,10
8,98,13,9,172.0,230.0,10
9,64,3,1,133.0,187.0,10
10,38,99,9,46.0,95.0,10
11,28,74,9,22.0,58.0,10
12,80,10,10,64.0,96.0,10
13,94,55,7,186.0,230.0,10
14,83,75,1,97.0,142.0,10
15,44,66,9,188.0,230.0,10
16,95,30,2,95.0,126.0,10
17,51,37,8,119.0,151.0,10
18,90,62,6,188.0,230.0,10
19,99,49,4,168.0,205.0,10
20,26,92,8,199.0,228.0,10
21,0,25,8,44.0,78.0,10
22,66,13,4,186.0,230.0,10
23,53,82,9,204.0,230.0,10
24,40,34,9,187.0,230.0,10
25,85,94,1,70.0,122.0,10
26,0,27,4,23.0,77.0,10
27,36,88,3,67.0,112.0,10
28,42,95,7,37.0,91.0,10
29,14,7,4,166.0,221.0,10
30,58,26,5,167.0,225.0,10
31,11,23,7,91.0,135.0,10
32,35,62,8,114.0,142.0,10
33,28,89,8,174.0,230.0,10
34,81,22,2,191.0,230.0,10
35,71,29,4,188.0,230.0,10
36,57,16,2,195.0,230.0,10
37,97,84,4,71.0,108.0,10
38,10,88,10,67.0,125.0,10
39,15,48,8,36.0,80.0,10
40,43,71,1,78.0,126.0,10
41,49,85,10,210.0,230.0,10
42,99,54,9,180.0,206.0,10
43,76,100,4,161.0,221.0,10
44,30,52,4,164.0,208.0,10
45,8,23,3,60.0,112.0,10
46,87,2,10,191.0,230.0,10
47,99,27,2,62.0,105.0,10
48,65,74,10,119.0,176.0,10
49,70,22,1,173.0,230.0,10
50,58,3,8,116.0,146.0,10
51,60,14,10,201.0,230.0,10
52,47,85,1,21.0,65.0,10
53,24,10,9,9.0,60.0,10
54,66,58,5,16.0,58.0,10
55,69,20,5,80.0,134.0,10
56,2,89,8,131.0,160.0,10
57,24,65,2,175.0,230.0,10
58,9,43,5,50.0,99.0,10
59,9,53,10,12.0,67.0,10
60,13,93,7,36.0,90.0,10
61,91,33,4,105.0,136.0,10
62,93,93,8,67.0,96.0,10
63,19,79,7,175.0,230.0,10
64,20,10,6,3.0,48.0,10
65,100,95,10,114.0,170.0,10
66,8,8,9,122.0,170.0,10
67,27,67,2,69.0,94.0,10
68,30,83,10,174.0,216.0,10
69,34,90,9,146.0,189.0,10
70,67,76,6,117.0,153.0,10
71,97,41,3,47.0,85.0,10
72,58,3,7,104.0,161.0,10
73,19,93,6,108.0,133.0,10
74,54,54,5,202.0,230.0,10
75,6,12,8,35.0,58.0,10
76,32,32,1,90.0,122.0,10
77,4,12,9,16.0,60.0,10
78,1,32,1,11.0,37.0,10
79,26,63,1,178.0,213.0,10
80,51,6,10,92.0,121.0,10
81,95,10,6,124.0,166.0,10
82,16,80,10,48.0,108.0,10
83,48,23,7,175.0,208.0,10
84,38,28,10,59.0,107.0,10
85,42,65,3,63.0,115.0,10
86,50,49,10,171.0,230.0,10
87,77,28,4,16.0,63.0,10
88,74,20,6,172.0,230.0,10
89,87,6,6,43.0,72.0,10
90,24,25,7,75.0,109.0,10
91,24,84,2,42.0,65.0,10
92,1,30,8,18.0,55.0,10
93,18,16,9,166.0,189.0,10
94,8,86,10,107.0,132.0,10
95,12,39,3,58.0,115.0,10
96,14,92,5,186.0,230.0,10
97,64,37,3,169.0,198.0,10
98,93,30,5,68.0,116.0,10
99,43,81,4,84.0,142.0,10
100,85,59,8,195.0,230.0,10
