CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,35,67,4,96.0,125.0,10
2,73,72,5,195.0,230.0,10
3,32,87,8,98.0,155.0,10
4,53,22,3,53.0,100.0,10
5,38,85,9,65.0,92.0,10
6,50,38,7,0.0,43.0,10
7,78,26,4,155.0,206.0,10
8,70,51,4,163.0,207.0,10
9,74,62,6,80.0,105.0,10
10,69,92,3,209.0,230.0,10
11,85,3,1,101.0,150.0,10
12,74,4,4,148.0,183.0,10
13,67,60,6,115.0,155.0,10
14,69,31,9,93.0,115.0,10
15,82,22,7,99.0,131.0,10
16,3,48,1,63.0,115.0,10
17,68,11,3,9.0,53.0,10
18,91,18,8,59.0,104.0,10
19,49,22,5,112.0,140.0,10
20,4,39,8,128.0,188.0,10
21,22,24,1,103.0,137.0,10
22,31,46,2,3.0,35.0,10
23,30,57,8,157.0,189.0,10
24,54,39,5,0.0,52.0,10
25,89,40,2,207.0,230.0,10
26,1,23,4,0.0,55.0,10
27,99,23,8,59.0,92.0,10
28,29,29,7,0.0,32.0,10
29,7,54,3,176.0,199.0,10
30,45,24,7,63.0,118.0,10
31,21,41,4,44.0,78.0,10
32,78,39,2,198.0,230.0,10
33,3,15,3,53.0,84.0,10
34,71,61,6,92.0,116.0,10
35,98,45,5,193.0,230.0,10
36,94,30,8,111.0,168.0,10
37,85,56,5,154.0,193.0,10
38,89,42,4,202.0,230.0,10
39,44,90,2,22.0,76.0,10
40,4,20,4,34.0,72.0,10
41,75,33,8,135.0,195.0,10
42,52,27,5,175.0,230.0,10
43,15,53,9,125.0,180.0,10
44,67,20,1,202.0,230.0,10
45,45,24,8,83.0,121.0,10
46,98,97,7,78.0,103.0,10
47,95,93,3,156.0,213.0,10
48,30,22,9,17.0,41.0,10
49,88,71,8,60.0,97.0,10
50,42,8,6,75.0,131.0,10
51,78,5,10,95.0,121.0,10
52,72,45,3,32.0,66.0,10
53,34,0,3,46.0,70.0,10
54,43,82,10,209.0,230.0,10
55,65,36,4,188.0,212.0,10
56,52,87,6,204.0,230.0,10
57,6,71,8,111.0,162.0,10
58,57,24,4,151.0,192.0,10
59,14,35,9,157.0,194.0,10
60,90,8,5,197.0,230.0,10
61,85,39,4,194.0,230.0,10
62,20,83,9,174.0,230.0,10
63,20,94,8,206.0,230.0,10
64,70,87,7,175.0,230.0,10
65,5,7,3,126.0,166.0,10
66,87,53,5,56.0,109.0,10
67,31,85,3,124.0,181.0,10
68,61,52,7,9.0,48.0,10
69,64,27,9,111.0,156.0,10
70,5,52,1,24.0,58.0,10
71,53,12,4,42.0,100.0,10
72,13,39,6,103.0,161.0,10
73,34,5,8,28.0,79.0,10
74,83,54,2,78.0,136.0,10
75,66,50,10,183.0,223.0,10
76,8,54,10,162.0,200.0,10
77,69,21,3,34.0,56.0,10
78,39,59,4,170.0,230.0,10
79,97,66,2,204.0,230.0,10
80,2,89,3,58.0,113.0,10
81,85,21,5,62.0,117.0,10
82,12,19,3,70.0,113.0,10
83,55,12,5,57.0,110.0,10
84,39,6,2,69.0,97.0,10
85,77,75,5,130.0,189.0,10
86,73,34,7,153.0,211.0,10
87,50,54,5,155.0,183.0,10
88,69,26,8,126.0,168.0,10
89,5,82,9,96.0,128.0,10
90,19,38,8,109.0,140.0,10
91,41,12,6,104.0,144.0,10
92,70,40,8,178.0,230.0,10
93,55,6,5,20.0,58.0,10
94,62,46,1,106.0,159.0,10
95,40,27,4,6.0,32.0,10
96,3,20,6,43.0,73.0,10
97,81,0,8,149.0,205.0,10
98,9,93,7,56.0,79.0,10
99,29,56,1,190.0,230.0,10
100,91,15,6,46.0,94.0,10
